Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUUR0000SAH,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"Housing in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,Housing,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,
Years:,1990 to 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1990,125.9,126.1,126.8,126.8,127.1,128.3,129.2,130.2,130.5,130.6,130.4,130.5,126.8,130.2
1991,131.8,132.4,132.6,132.5,132.8,133.4,134.2,134.5,134.7,134.7,134.7,135.0,132.6,134.6
1992,135.7,136.1,136.6,136.5,136.7,137.7,138.3,138.6,138.4,138.5,138.5,138.5,136.6,138.5
1993,139.3,139.7,140.2,140.4,140.5,141.5,141.9,142.3,142.3,142.2,142.0,142.3,140.3,142.2
1994,142.9,143.7,144.1,143.9,144.1,144.9,145.4,145.9,145.8,145.7,145.5,145.4,143.9,145.6
1995,146.4,147.0,147.4,147.4,147.6,148.5,149.2,149.6,149.5,149.7,149.4,149.7,147.4,149.5
1996,150.6,151.2,151.7,151.8,152.0,152.7,153.6,154.0,153.9,154.0,153.9,154.0,151.7,153.9
1997,155.1,155.8,155.9,155.8,155.9,156.9,157.5,157.6,157.7,157.7,157.7,157.7,155.9,157.7
1998,158.3,158.8,159.2,159.5,159.7,160.6,161.2,161.5,161.5,161.4,161.3,161.3,159.4,161.4
1999,161.8,162.3,162.8,163.0,163.0,164.1,164.7,165.0,165.2,165.0,164.9,164.8,162.8,164.9
2000,166.0,167.1,167.8,167.9,168.1,169.6,170.6,170.9,171.4,171.7,171.6,171.9,167.8,171.4
2001,174.1,174.7,175.4,175.4,175.9,177.3,177.6,178.0,177.4,176.7,176.9,176.9,175.5,177.3
2002,177.6,178.5,179.1,179.5,179.7,180.7,181.2,181.7,181.5,181.4,181.2,181.1,179.2,181.4
2003,182.3,183.2,184.3,184.1,184.5,185.3,185.9,186.1,185.8,185.7,185.1,185.1,184.0,185.6
2004,186.3,187.0,187.9,188.4,188.9,190.3,190.9,191.2,191.0,191.0,190.8,190.7,188.1,190.9
2005,191.8,192.7,194.1,194.4,194.5,195.5,196.6,196.9,197.0,198.4,198.5,198.3,193.8,197.6
2006,200.0,200.5,201.3,201.7,202.2,203.7,204.7,205.1,205.0,204.4,204.5,204.8,201.6,204.8
2007,206.057,207.177,208.080,208.541,208.902,210.649,211.286,211.098,210.865,210.701,210.745,210.933,208.234,210.938
2008,212.244,213.026,214.389,214.890,215.809,217.941,219.610,219.148,218.184,217.383,216.467,216.073,214.717,217.811
2009,216.928,217.180,217.374,217.126,216.971,218.071,218.085,217.827,217.178,216.612,215.808,215.523,217.275,216.839
2010,215.925,215.841,216.023,215.798,215.981,216.778,217.076,216.976,216.602,216.100,215.830,216.142,216.058,216.454
2011,216.739,217.259,217.707,217.901,218.484,219.553,220.230,220.506,220.540,220.138,219.969,220.193,217.941,220.263
2012,220.805,221.117,221.487,221.682,221.971,223.051,223.316,223.699,223.901,223.708,223.814,224.032,221.685,223.745
2013,224.790,225.382,225.643,225.986,226.896,228.068,228.374,228.564,228.808,228.362,228.449,228.892,226.128,228.575
2014,230.256,230.905,231.968,231.689,232.744,233.894,234.475,234.571,234.675,234.434,234.315,234.658,231.909,234.521
2015,235.485,236.016,236.435,236.777,237.175,238.568,239.085,239.298,239.651,239.395,239.325,239.514,236.743,239.378
2016,240.424,241.015,241.485,241.790,242.811,244.280,244.936,245.472,246.127,246.264,246.271,246.795,241.968,245.978
2017,247.942,248.693,248.978,249.514,250.376,251.629,251.870,252.615,252.984,253.125,253.177,253.845,249.522,252.936
2018,254.857,255.713,256.388,256.969,257.907,258.710,259.268,259.884,259.941,260.268,260.473,261.360,256.757,260.199
2019,262.284,263.057,263.886,264.452,265.137,266.461,267.101,267.263,267.822,267.794,267.925,268.236,264.213,267.690
2020,269.468,270.281,270.273,270.184,270.823,271.831,272.445,272.866,273.116,273.014,273.290,273.684,270.477,273.069
2021,274.336,275.137,276.028,277.258,278.648,280.366,281.604,282.391,283.744,285.310,286.308,287.511,276.962,284.478
2022,289.889,291.504,293.577,295.259,297.868,300.927,302.327,304.506,306.521,307.816,308.720,310.725,294.837,306.769
2023,313.747,315.431,316.514,317.278,318.205,320.002,321.087,321.894,323.563,323.964,324.735,325.640,316.863,323.481
2024,328.222,329.704,331.247,331.688,332.777,334.087,335.056,335.931,336.776,337.470,338.048,338.883,331.288,337.027
2025,340.875,,,,,,,,,,,,,
